SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1445.10,1452.80,1420.00,1428.95,1428.95,1431.05,281,2674,3836155.00,
500003,AEGIS LOGIS ,A ,Q,240.00,248.80,237.95,244.90,244.90,228.70,2648,139413,34108856.00,
500008,AMAR RAJA BA,A ,Q,786.00,800.85,775.00,794.45,794.00,773.00,1076,33135,26200063.00,
500009,A.SARABHAI  ,X ,Q,10.21,10.95,10.07,10.47,10.47,10.60,88,53451,551567.00,
500010,HDFC        ,A ,Q,1798.00,1802.30,1772.00,1797.50,1796.50,1761.85,2048,268479,479672306.00,
500012,ANDHRA PETRO,X ,Q,53.00,54.95,49.75,54.95,54.95,52.35,620,236045,12348972.00,
500013,ANSAL INFRAS,B ,Q,21.10,21.15,19.65,19.90,19.85,20.65,265,89863,1792237.00,
500014,APPLE FINANC,X ,Q,3.05,3.28,3.01,3.05,3.01,3.16,35,28741,88766.00,
500020,BOM DYEING  ,A ,Q,252.90,256.80,236.90,240.65,240.65,247.80,11441,1188875,291423679.00,
500023,ASIANHOTNR  ,T ,Q,264.10,279.50,264.10,270.05,270.05,266.20,10,661,179003.00,
500024,ASSAMCO     ,B ,Q,4.60,4.75,4.40,4.43,4.43,4.55,98,155700,697149.00,
500027,ATUL LTD.   ,A ,Q,2620.10,2638.00,2616.00,2616.95,2616.00,2631.25,66,219,573747.00,
500028,ATV PROJECTS,XT,Q,10.07,11.00,10.07,10.30,10.30,10.56,30,16281,167840.00,
500029,AUTOLITE(I) ,B ,Q,68.00,69.95,66.25,67.55,67.50,67.80,43,5653,380610.00,
500031,BAJAJ ELECT.,A ,Q,555.95,570.00,553.50,563.95,563.95,550.10,1458,61795,34824835.00,
500032,BAJAJHIND   ,A ,Q,11.25,11.35,10.65,10.88,10.88,11.16,1096,2100303,22786603.00,
500033,FORCE MOTR  ,B ,Q,2810.00,2875.00,2805.00,2838.60,2838.60,2809.60,2314,20674,58507449.00,
500034,BAJFINANCE  ,A ,Q,1634.65,1636.30,1595.00,1624.65,1624.65,1620.25,1883,28882,46619314.00,
500038,BALRAM.CHINI,A ,Q,96.20,97.50,84.65,89.90,89.90,96.25,10117,1684043,149174344.00,
500039,BANCO PROD. ,B ,Q,220.00,220.00,209.70,214.90,215.00,215.25,736,31736,6796376.00,
500040,CENTURY TEXT,A ,Q,1175.65,1177.30,1134.65,1169.75,1169.75,1164.15,1083,35017,40616190.00,
500041,BANNARI AMAN,B ,Q,1625.00,1625.00,1600.25,1600.55,1600.55,1657.70,6,2916,4669974.00,
500042,BASF INDIA  ,B ,Q,2020.90,2072.45,1966.10,2042.65,2060.00,1995.20,540,2423,4902084.00,
500043,BATA INDIA  ,A ,Q,700.05,720.00,696.45,714.90,715.35,706.25,536,11634,8231839.00,
500048,BEML LTD    ,A ,Q,1205.00,1219.95,1111.85,1138.95,1138.95,1198.10,5380,128697,149530613.00,
500049,BHARAT ELECT,A ,Q,150.00,150.25,145.00,147.50,147.50,148.70,2273,241227,35485685.00,
500052,BHANSALI ENG,B ,Q,166.00,168.50,156.60,161.60,161.60,164.40,2330,463000,74882775.00,
500055,BHUSH STEEL ,B ,Q,47.20,48.70,44.25,47.20,47.20,40.60,9373,2224361,102776351.00,
500058,BIHAR SPONGE,XT,Q,2.43,2.50,2.42,2.43,2.50,2.54,16,3690,8958.00,
500059,BINANI IND. ,B ,Q,97.55,98.70,93.75,93.90,93.90,98.65,247,26556,2512773.00,
500060,BIRLACABLE  ,B ,Q,59.50,59.95,56.00,57.85,58.00,57.90,47,4301,249564.00,
500067,BLUE STAR   ,A ,Q,800.00,810.00,771.60,784.20,786.05,786.65,382,5431,4278411.00,
500068,DISA INDIA  ,X ,Q,6725.00,6725.00,6000.00,6131.65,6131.65,6570.00,30,125,803387.00,
500069,BNK CAPITAL ,X ,Q,106.90,106.90,101.20,104.95,105.40,103.00,29,2858,295248.00,
500074,BPL LTD.    ,B ,Q,85.80,85.80,80.05,83.00,83.00,82.60,1242,139855,11427473.00,
500078,CAMPH.& ALL ,X ,Q,999.90,999.90,960.30,965.80,966.00,978.40,59,2470,2398265.00,
500083,CENTURY EXT ,B ,Q,6.10,6.10,5.75,6.10,6.10,5.90,40,21993,131956.00,
500084,CESC LTD.   ,A ,Q,962.55,987.75,941.65,983.25,986.80,970.35,1098,77378,75107126.00,XD
500085,CHAMBAL FERT,A ,Q,152.55,155.50,151.00,152.25,152.25,152.55,1025,123726,18878865.00,
500086,EXIDE IND.  ,A ,Q,206.50,209.95,202.50,208.55,209.65,205.00,2196,91357,18860684.00,
500087,CIPLA LTD.  ,A ,Q,582.90,582.90,573.80,576.70,576.70,580.05,835,39191,22646226.00,
500089,DIC INDIA   ,B ,Q,497.00,505.00,490.00,505.00,505.00,496.95,8,120,59349.00,
500092,CRISIL LTD  ,A ,Q,1959.95,1959.95,1922.00,1929.25,1927.50,1960.70,170,1646,3191588.00,
500093,CGPOWER     ,A ,Q,78.00,79.30,73.65,78.90,78.90,76.70,822,129778,10079780.00,
500096,DABUR (I)   ,A ,Q,325.00,328.70,319.05,325.00,328.70,323.30,985,3038616,987495047.00,
500097,DALMIASUG   ,B ,Q,89.00,89.00,77.00,78.55,78.25,86.30,656,61686,4885774.00,
500101,ARVIND Ltd  ,A ,Q,393.00,398.35,383.15,396.10,396.10,388.75,1230,89467,35183633.00,
500102,BALARPUR IND,B ,Q,12.90,12.90,12.22,12.78,12.80,12.62,394,394366,5001087.00,
500103,BHEL        ,A ,Q,85.80,86.60,83.80,86.00,86.00,85.45,3890,1114041,95168203.00,
500104,HIND.PETRO  ,A ,Q,359.00,363.90,353.75,360.85,360.85,357.90,2420,105528,37993705.00,
500106,IFCI LTD    ,A ,Q,21.00,21.35,20.30,21.10,21.10,21.00,1383,868842,18110779.00,
500108,MAHA.TELE   ,B ,Q,21.35,21.50,20.10,20.70,20.70,20.95,957,472780,9821628.00,
500109,MRPL        ,A ,Q,116.50,117.65,113.50,116.90,116.90,116.00,898,94986,11012046.00,
500110,CHENNAI PET.,A ,Q,347.25,348.50,336.35,343.80,345.80,342.00,713,36943,12659918.00,
500111,REL.CAP.    ,A ,Q,426.50,426.50,408.00,421.30,421.30,417.80,8621,934006,389621582.00,
500112,STATE BANK  ,A ,Q,247.00,257.50,244.40,256.75,256.75,246.65,14220,1871880,471076815.00,
500113,STEEL AUTH. ,A ,Q,74.10,75.50,72.20,74.20,74.20,73.70,2869,1084724,80263559.00,
500114,TITAN       ,A ,Q,819.00,821.90,808.05,817.20,817.20,813.40,1178,43273,35228633.00,
500116,IDBI BANK L ,A ,Q,81.00,82.55,73.15,74.85,74.85,79.25,21197,7486837,573164925.00,
500117,DCW LTD.    ,B ,Q,34.70,36.35,32.95,36.05,36.05,34.65,635,184000,6376794.00,
500119,DHAMPUR SUGA,B ,Q,160.50,160.50,144.05,149.30,149.30,159.15,1380,107897,16157032.00,
500120,DIAMINES&CHM,X ,Q,101.50,104.90,99.25,101.95,102.50,100.70,33,2812,284660.00,
500123,ELANTAS     ,B ,Q,2006.15,2100.00,2000.00,2061.85,2087.00,2016.35,443,1451,2980008.00,
500124,DR.REDDY'S  ,A ,Q,2164.85,2180.30,2128.45,2145.50,2145.50,2148.45,1339,14730,31652982.00,
500125,E.I.D.PAR   ,A ,Q,300.00,302.75,290.00,299.20,299.20,300.00,451,476189,141466615.00,
500126,MERCK LTD   ,B ,Q,1491.10,1522.65,1475.00,1501.90,1501.90,1466.85,444,6718,10068468.00,
500128,ELEC.CASTING,B ,Q,28.25,28.65,27.40,28.20,28.20,27.85,246,156440,4365120.00,
500132,EMPEE SUGARS,X ,Q,3.98,3.98,3.91,3.91,3.91,4.11,13,7923,31310.00,
500133,ESAB INDIA  ,B ,Q,752.00,766.00,741.50,763.95,755.00,759.50,43,490,372594.00,
500135,ESSEL PROP  ,B ,Q,254.15,260.70,244.00,253.30,253.30,252.95,146,4435,1117989.00,
500136,ESTER INDUS.,B ,Q,60.00,60.35,57.05,59.80,59.80,59.20,260,28299,1662645.00,
500139,FEDDERELEC  ,B ,Q,71.50,71.50,68.55,68.95,68.95,70.55,272,46054,3219721.00,
500141,FERRO ALLOYS,X ,Q,8.40,8.70,7.99,8.05,8.05,8.41,349,298226,2432988.00,
500142,FGP LTD.    ,XT,Q,1.16,1.16,1.16,1.16,1.16,1.20,1,1000,1160.00,
500144,FINOL. CABLE,A ,Q,706.00,711.55,697.05,709.40,709.40,695.65,574,16942,12002518.00,
500147,CMI FPE     ,X ,Q,909.00,928.85,890.00,927.00,928.85,898.20,62,1659,1495885.00,
500148,UFLEX LTD   ,A ,Q,353.85,353.85,342.00,349.05,350.65,349.30,379,31816,10990841.00,
500150,FOSECO INDIA,B ,Q,1550.00,1559.00,1503.00,1550.40,1559.00,1550.05,45,471,722740.00,
500153,GANESH BENZO,X ,Q,83.95,85.30,82.10,85.00,85.00,83.95,610,100595,8397571.00,
500155,GARDEN SILK ,B ,Q,35.25,35.25,33.80,34.00,34.40,34.55,75,6755,231405.00,
500159,METROGLOBL  ,X ,Q,78.25,79.55,77.00,78.00,78.00,79.15,19,1653,128619.00,
500160,GTL LTD.    ,B ,Q,11.44,11.70,10.55,11.03,11.04,11.21,362,114015,1252073.00,
500163,GODFREY PH  ,A ,Q,822.00,824.50,795.00,809.60,809.60,811.65,667,9646,7780483.00,
500164,GODREJ IND  ,A ,Q,545.00,551.95,543.95,550.75,548.50,543.50,403,13555,7438375.00,
500165,KANSAI NERO ,A ,Q,489.20,492.50,472.60,489.30,491.75,486.50,539,8649,4203075.00,
500166,GOODRICKE   ,X ,Q,330.00,335.00,317.00,330.50,330.50,330.75,279,10191,3311672.00,
500168,GOODYEAR (I),B ,Q,1185.00,1189.90,1161.50,1178.65,1170.00,1167.25,424,5266,6159232.00,
500170,GTN INDUS   ,B ,Q,13.90,14.25,13.80,13.85,14.10,14.50,34,5171,71743.00,
500171,GHCL LTD    ,A ,Q,274.40,275.50,256.30,273.80,273.80,272.05,704,47614,12714721.00,
500173,GUJ.FLOURO  ,B ,Q,770.75,785.00,751.00,777.15,785.00,764.15,413,4228,3232319.00,
500179,HCL INFOSYS ,A ,Q,55.95,56.25,53.35,55.35,55.35,54.60,2410,720820,39602378.00,
500180,HDFC BANK   ,A ,Q,1859.95,1859.95,1833.10,1851.45,1851.45,1834.45,1951,644880,1186904991.00,
500182,HEROMOTOCO  ,A ,Q,3562.45,3597.30,3543.20,3585.65,3580.00,3562.10,806,6427,22933313.00,
500183,HIMACHAL FUT,A ,Q,26.90,27.35,25.60,27.00,27.00,26.55,2419,2381321,63358043.00,
500184,HSCL        ,B ,Q,146.30,150.00,141.00,145.60,145.00,147.30,1833,215872,31483169.00,
500185,HIND.CONSTN.,A ,Q,31.50,31.85,30.40,31.50,31.50,31.15,2490,1261280,39306573.00,
500186,HIND.OIL EXP,B ,Q,105.00,105.50,97.50,103.30,104.95,103.05,2108,331016,33534940.00,
500187,HSIL        ,B ,Q,423.60,423.60,401.45,413.95,411.20,415.30,473,14066,5757726.00,
500188,HINDUS.ZI   ,A ,Q,310.00,314.90,305.00,313.35,313.35,309.80,1148,95741,29672526.00,
500189,HINDUJA VENT,B ,Q,763.65,770.35,721.00,723.25,729.75,739.50,143,3112,2278524.00,
500191,HMT LTD.    ,Z ,Q,31.50,31.80,30.25,30.85,30.85,31.30,29,8666,267914.00,
500192,PRAG BOSIMI ,XT,Q,3.36,3.37,3.36,3.36,3.36,3.53,5,1900,6385.00,
500193,HOTEL LEELA.,B ,Q,17.70,17.75,17.25,17.55,17.55,17.45,193,67950,1194251.00,
500199,I.G.PETRO   ,B ,Q,659.00,667.15,627.95,661.80,661.80,651.30,313,5048,3261899.00,
500201,IND.GLYCOLS ,B ,Q,470.70,483.00,438.30,460.60,457.75,463.90,1569,60136,27503015.00,
500206,MARGO FIN   ,XT,Q,14.05,14.05,14.05,14.05,14.05,14.25,3,286,4018.00,
500207,INDO RAMA   ,B ,Q,31.50,31.65,30.00,31.25,31.50,30.20,116,34302,1058351.00,
500209,INFOSYS LTD ,A ,Q,1144.00,1165.00,1144.00,1156.70,1156.70,1142.80,5304,207644,240753496.00,
500210,INGERSOLL   ,B ,Q,720.70,720.70,701.50,713.85,710.15,710.55,123,2540,1791922.00,
500211,INSILCO LTD.,X ,Q,24.70,25.00,23.95,24.00,24.00,24.75,34,10480,255179.00,
500212,INTEG.FIN.SE,XT,Q,40.00,40.00,40.00,40.00,40.00,42.10,1,25,1000.00,
500213,INTER.TRAVEL,X ,Q,174.50,177.00,174.50,176.30,176.45,173.90,37,2889,507027.00,
500214,ION EXCHANGE,XT,Q,480.00,484.90,461.00,470.40,467.00,474.30,147,4638,2191719.00,
500215,AGRO TECH FO,B ,Q,639.35,639.35,620.00,625.00,625.00,632.00,112,1826,1138078.00,
500219,JAIN IRRIG  ,A ,Q,105.55,107.05,99.95,105.40,105.40,105.00,4762,1503605,156308790.00,
500220,JASCH INDUST,X ,Q,67.10,67.95,67.00,67.00,67.00,67.50,11,1240,83436.00,
500223,JCT LTD     ,X ,Q,3.05,3.09,2.97,3.02,3.05,3.06,292,437152,1316757.00,
500227,JINDAL POLYF,B ,Q,337.40,340.40,328.30,335.75,335.75,332.15,333,17201,5755565.00,
